DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
AUGUSTA,NAPSo Programada,0,2020-05-29 19:10:57,2020-05-30 23:34:15,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2020
AUGUSTA,NAPSo Programada,0,2020-06-13 10:04:26,2020-06-13 16:29:32,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,NAPSo Programada,0,2020-06-13 12:56:16,2020-06-13 17:21:54,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,NAPSo Programada,0,2020-05-14 15:51:13,2020-05-14 23:10:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-04-04 17:19:17,2020-04-04 21:24:56,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-01-24 13:35:13,2020-01-25 11:10:40,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,NAPSo Programada,0,2020-06-14 09:38:33,2020-06-15 11:24:43,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,NAPSo Programada,0,2020-03-16 14:49:49,2020-03-17 20:51:18,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-04-23 18:10:18,2020-04-23 23:13:00,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2020
AUGUSTA,NAPSo Programada,6,2020-01-09 09:26:00,2020-01-09 13:20:00,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2020
AUGUSTA,NAPSo Programada,0,2020-05-12 12:04:09,2020-05-12 17:30:00,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,NAPSo Programada,0,2020-02-17 13:54:14,2020-02-17 22:10:40,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,NAPSo Programada,0,2020-01-27 12:40:33,2020-01-27 16:15:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-04-08 10:21:18,2020-04-08 11:42:14,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-03-20 19:04:13,2020-03-21 14:52:01,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-01-27 15:43:15,2020-01-28 01:56:30,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2020
AUGUSTA,NAPSo Programada,0,2020-04-30 20:01:43,2020-05-01 03:20:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-07-15 09:57:51,2020-07-15 11:37:22,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,NAPSo Programada,0,2020-02-19 13:38:43,2020-02-20 14:08:01,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-05-16 18:31:33,2020-05-16 20:27:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-06-01 11:10:00,2020-06-01 12:13:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-01-03 16:55:28,2020-01-03 18:46:00,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,Programada,0,2020-05-06 10:00:50,2020-05-06 12:20:59,Interna - Programada - Alteracao - Para melhoria,2020
AUGUSTA,NAPSo Programada,6,2020-07-06 19:31:19,2020-07-06 23:00:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,6,2020-02-09 21:45:00,2020-02-10 11:45:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,6,2020-01-15 16:54:54,2020-01-16 15:40:00,Interna - Nao Programada - Falha operacional - Servico mal executado,2020
AUGUSTA,NAPSo Programada,0,2020-02-24 12:15:00,2020-02-24 14:50:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2020
AUGUSTA,NAPSo Programada,0,2020-04-19 22:02:01,2020-04-20 00:20:30,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2020
