DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-02-09 08:18:54,2018-02-09 11:44:35,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-04-03 10:11:29,2018-04-03 18:10:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-09-29 09:42:33,2018-09-29 10:52:37,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-11-25 17:46:43,2018-11-25 17:52:16,Interna - Nao Programada - Meio ambiente - Vento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-06-08 12:14:25,2018-06-08 14:31:29,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-02-22 23:54:45,2018-02-23 02:30:09,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,6,2018-03-06 13:27:30,2018-03-06 20:45:17,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-07-06 02:05:00,2018-07-06 02:58:26,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-07-05 23:12:58,2018-07-06 02:17:22,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-10-10 02:54:32,2018-10-10 04:57:56,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-10-10 01:51:47,2018-10-10 03:55:38,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-03-20 08:23:00,2018-03-20 10:31:23,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-01-08 07:23:52,2018-01-08 12:40:31,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-10-23 09:11:41,2018-10-23 20:05:47,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-11-14 06:48:24,2018-11-14 13:36:08,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,6,2018-03-19 18:37:53,2018-03-20 06:26:02,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,6,2018-03-06 20:01:57,2018-03-06 20:45:17,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,6,2018-03-06 22:20:48,2018-03-07 00:00:23,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-10-22 06:49:43,2018-10-22 12:31:19,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-10-27 11:04:43,2018-10-28 08:10:46,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-08-08 11:40:16,2018-08-08 15:40:11,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-05-11 07:46:00,2018-05-11 08:37:20,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-10-02 10:00:47,2018-10-02 12:47:19,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,6,2018-01-11 14:46:59,2018-01-11 16:52:50,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,6,2018-01-11 14:22:36,2018-01-11 16:05:37,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,6,2018-01-11 12:52:53,2018-01-11 16:04:04,Interna - Nao Programada - Falha operacional - Servico mal executado,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-04-06 16:15:18,2018-04-07 00:14:35,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-09-20 00:53:39,2018-09-20 04:32:26,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-01-09 15:23:27,2018-01-09 17:58:51,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-02-24 15:00:00,2018-02-24 17:13:23,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
BANDEIRANTES_RETICULADO,NAPSo Programada,0,2018-02-24 15:00:00,2018-02-24 17:08:45,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
