DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
MIGUEL REALE,NAPSo Programada,0,2018-04-18 13:26:39,2018-04-18 21:36:34,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-04 05:56:45,2018-11-04 08:22:53,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,0,2018-02-09 10:05:12,2018-02-09 12:43:36,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,0,2018-08-05 10:51:14,2018-08-05 19:45:17,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
MIGUEL REALE,NAPSo Programada,0,2018-08-05 10:51:56,2018-08-05 19:47:55,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
MIGUEL REALE,NAPSo Programada,0,2018-03-07 20:17:22,2018-03-07 23:34:38,Interna - Nao Programada - Falha operacional - Servico mal executado,2018
MIGUEL REALE,NAPSo Programada,0,2018-11-25 09:18:22,2018-11-25 12:48:13,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,0,2018-03-20 15:44:00,2018-03-20 19:16:00,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,0,2018-05-05 23:13:13,2018-05-06 05:20:44,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,0,2018-05-05 23:14:40,2018-05-06 05:20:07,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,0,2018-06-07 03:08:00,2018-06-07 03:24:00,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
MIGUEL REALE,NAPSo Programada,0,2018-03-07 15:29:05,2018-03-07 16:24:14,Interna - Nao Programada - Terceiros - Defeito cliente afetando outros,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-04 09:13:57,2018-11-04 09:18:01,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,0,2018-10-25 13:16:12,2018-10-25 15:12:41,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,0,2018-07-10 08:47:46,2018-07-10 12:09:45,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
MIGUEL REALE,NAPSo Programada,0,2018-11-15 16:08:00,2018-11-15 16:45:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,7,2018-01-28 11:57:00,2018-01-28 12:08:00,Interna - Nao Programada - Alivio de carga,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-04 09:15:52,2018-11-04 09:57:36,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,0,2018-04-19 08:46:00,2018-04-19 11:25:12,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,0,2018-05-07 17:01:44,2018-05-08 09:30:57,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
MIGUEL REALE,NAPSo Programada,0,2018-11-04 11:06:25,2018-11-04 11:10:58,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-04 11:05:49,2018-11-04 11:10:48,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,0,2018-11-04 11:05:03,2018-11-04 11:10:58,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-04 11:05:24,2018-11-04 11:10:58,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-04 11:05:24,2018-11-04 11:10:48,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,0,2018-11-04 11:05:31,2018-11-04 11:10:58,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-03 19:04:30,2018-11-04 01:37:00,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-03 19:04:30,2018-11-04 01:37:02,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-03 19:04:30,2018-11-04 01:37:18,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,6,2018-11-03 19:04:40,2018-11-04 08:20:39,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,6,2018-11-03 19:04:40,2018-11-04 01:37:05,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
MIGUEL REALE,NAPSo Programada,3,2018-11-03 19:04:30,2018-11-04 08:20:57,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
