DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-05 16:43:24,2024-04-06 04:40:07,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-06 19:50:01,2024-02-08 01:52:43,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 08:34:04,2024-01-12 16:00:20,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-26 15:52:46,2024-04-26 21:40:28,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-05 15:01:04,2024-04-06 09:08:20,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-20 18:16:31,2024-01-20 20:40:24,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-20 18:16:31,2024-01-20 22:15:50,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-06-06 08:00:46,2024-06-06 11:00:55,INTERNA;NAO PROGRAMADA;TERCEIROS;EMPRESAS DE SERVICOS PUBLICOS OU SUAS CONTRATADAS,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-05 10:16:05,2024-01-05 17:34:38,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-20 19:54:58,2024-01-21 09:44:58,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-26 14:11:56,2024-03-26 17:00:06,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,6,2024-02-26 03:57:41,2024-02-26 15:01:13,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-26 09:17:31,2024-03-26 11:51:47,INTERNA;NAO PROGRAMADA;TERCEIROS;EMPRESAS DE SERVICOS PUBLICOS OU SUAS CONTRATADAS,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-05-27 17:09:00,2024-05-27 17:49:52,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-26 08:38:51,2024-03-28 23:36:57,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-26 14:12:16,2024-04-26 16:34:57,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-26 14:36:31,2024-04-26 16:34:57,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 04:17:57,2024-01-12 04:21:57,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-16 12:02:03,2024-04-16 17:15:58,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-17 08:03:43,2024-04-17 08:07:33,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,6,2024-02-26 14:22:08,2024-02-26 18:57:42,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-27 03:42:26,2024-03-27 08:40:38,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-05 16:41:04,2024-01-06 10:37:14,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
