DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
PAULA SOUZA,Programada,0,2018-09-02 09:06:30,2018-09-02 13:47:21,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-03-07 23:41:09,2018-03-07 23:51:34,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,Programada,0,2018-08-05 10:31:36,2018-08-05 15:30:39,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-08-05 10:36:33,2018-08-05 13:28:12,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-15 09:05:46,2018-11-15 14:44:49,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,Programada,0,2018-08-05 10:37:46,2018-08-05 13:00:00,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-04-02 16:10:03,2018-04-03 04:33:48,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 08:07:00,2018-05-07 12:48:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 08:07:00,2018-05-07 10:32:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-10-10 23:57:28,2018-10-11 05:32:27,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 08:07:00,2018-05-07 12:48:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-10-10 23:57:42,2018-10-11 05:32:37,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-07 08:07:00,2018-05-07 10:32:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-10-11 00:10:42,2018-10-11 02:40:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-10-11 00:15:52,2018-10-11 05:19:17,Interna - Programada - Alteracao - Para melhoria,2018
