,Distrito,Latitude,Longitude
0,Água Rasa,-23.5653715,-46.57369718912304
1,Alto de Pinheiros,-23.5499064,-46.7076422
2,Anhanguera,-23.4329085,-46.788533962659386
3,Aricanduva,-23.5780239,-46.511454
4,Artur Alvim,-23.5404687,-46.4897914
5,Barra Funda,-23.5254616,-46.6675134
6,Bela Vista,-23.5601219,-46.6500338
7,Belém,-23.5348833,-46.5949387
8,Bom Retiro,-23.5251634,-46.6381644
9,Brás,-23.5453263,-46.6164435
10,Brasilândia,-23.4649661,-46.6913891
11,Butantã,-23.5690555,-46.7218833626702
12,Cachoeirinha,-23.4630177,-46.6610721
13,Cambuci,-23.5659114,-46.61367950054397
14,Campo Belo,-23.6299339,-46.670417
15,Campo Grande,-23.6722214,-46.684628
16,Campo Limpo,-23.6361999,-46.7627968
17,Cangaiba,-23.5058996,-46.5314253
18,Capão Redondo,-23.6719026,-46.779435420915036
19,Carrão,-23.5515305,-46.537790768940425
20,Casa Verde,-23.5059269,-46.6561379
21,Cidade Ademar,-23.6730116,-46.6552806
22,Cidade Dutra,-23.7139643,-46.6990882
23,Cidade Lider,-23.5627696,-46.4943334
24,Cidade Tiradentes,-23.5824973,-46.4092065
25,Consolação,-23.557818,-46.6605373
26,Cursino,-23.6323011,-46.61956290654779
27,Ermelino Matarazzo,-23.4902552,-46.4824048
28,Freguesia do Ó,-23.4874636,-46.6951317
29,Grajaú,-23.7799713,-46.6737655
30,Guaianases,-23.5440052,-46.4115152
31,Moema,-23.597085,-46.6628884
32,Iguatemi,-23.6182115,-46.418977389793156
33,Ipiranga,-23.58927255,-46.60616206667652
34,Itaim Bibi,-23.5843807,-46.6784441
35,Itaim Paulista,-23.5017648,-46.3996091
36,Itaquera,-23.5360799,-46.4555099
37,Jabaquara,-23.6487101,-46.645451
38,Jaçanã,-23.4639591,-46.5824232
39,Jaguara,-23.507446,-46.7553150946776
40,Jaguaré,-23.5420355,-46.74949925025804
41,Jaraguá,-23.446592000000003,-46.73617751601424
42,Jardim Ângela,-23.7125278,-46.7687195
43,Jardim Helena,-23.479635,-46.4196826
44,Jardim Paulista,-23.5652185,-46.6601846
45,Jardim São Luís,-23.6739274,-46.7407377
46,José Bonifácio,-23.564114500000002,-46.43473669552859
47,Lapa,-23.5215756,-46.7043491
48,Liberdade,-23.5666009,-46.63180336484415
49,Limão,-23.5033149,-46.6752722
50,Mandaqui,-23.4636929,-46.6416113
51,Marsilac,-23.9083907,-46.7061053
52,Mooca,-23.5606808,-46.5971924
53,Morumbi,-23.5964988,-46.7178446
54,Parelheiros,-23.827312,-46.7277941
55,Pari,-23.532976,-46.6158488
56,Parque do Carmo,-23.5787082,-46.458056
57,Pedreira,-22.741347,-46.894846
58,Penha,-23.523683,-46.5437815
59,Perdizes,-23.537929499999997,-46.68067051085396
60,Perus,-23.4084915,-46.743643244261776
61,Pinheiros,-23.5672842,-46.701939
62,Pirituba,-23.485533,-46.7219385
63,Ponte Rasa,-23.5110455,-46.4870517
64,Raposo Tavares,-23.591709299999998,-46.780512317773784
65,República,-23.545334500000003,-46.64225711835967
66,Rio Pequeno,-23.5685049,-46.75685697298139
67,Sacomã,-23.6012824,-46.6025552
68,Santa Cecília,-23.5296595,-46.65189388826502
69,Santana,-23.499321000000002,-46.6289326497014
70,Santo Amaro,-23.6556547,-46.7209734
71,São Lucas,-23.594946,-46.545899798292474
72,São Mateus,-23.5982995,-46.4817046
73,São Miguel,-23.5026845,-46.43832867511995
74,São Rafael,-23.627159,-46.45324064213981
75,Sapopemba,-23.6043265,-46.5098851
76,Saúde,-23.615177950000003,-46.643393343146286
77,Sé,-23.5504428,-46.6334463
78,Socorro,-22.5902619,-46.5249112
79,Tatuapé,-23.5402524,-46.5766424
80,Tremembé,-22.95714,-45.547526
81,Tucuruvi,-23.4800747,-46.6032701
82,Vila Andrade,-23.625687,-46.7269894
83,Vila Curuçá,-23.510151,-46.41789278409091
84,Vila Formosa,-23.5668764,-46.5463233
85,Vila Guilherme,-23.5170972,-46.6079618
86,Vila Jacuí,-23.500294,-46.458717352058315
87,Vila Leopoldina,-23.530072,-46.73431933313398
88,Vila Maria,-23.5131836,-46.5891557
89,Vila Mariana,-23.5837,-46.632740824206934
90,Vila Matilde,-23.536179,-46.524605
91,Vila Medeiros,-23.487707,-46.5844955
92,Vila Prudente,-23.592335,-46.57496141835203
93,Vila Sônia,-23.5986562,-46.7392935
94,São Domingos,-23.4938759,-46.7421942
95,Lajeado,-23.53624775,-46.41002184740884
