eq_nome,eq_enderec,eq_bairro,eq_cep,eq_horario,eq_telefon,eq_regiao,eq_distrit,eq_subpref,eq_esfera,eq_classe,eq_rede,eq_tipo,geometry,Latitude,Longitude
CEU EMEF BUTANTA,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870",JARDIM ESMERALDA,05588-001,,37324530,OESTE,67,10,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (321415.039255 7390977.019655),-23.581840053474423,-46.750011417972395
CEU EMEI BUTANTA,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870",JARDIM ESMERALDA,05588-001,,37324520,OESTE,67,10,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (321415.039255 7390977.019655),-23.581840053474423,-46.750011417972395
CEU CEI BUTANTA,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870",JARDIM ESMERALDA,05564-000,,,OESTE,67,10,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (321404.066943 7391046.975784),-23.58120724056771,-46.75011052373821
CEU EMEF CESAR ARRUDA CASTANHO DEP,"NAZIR MIGUEL, 849",JARDIM PAULO VI,05570-030,,37830669,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (317348.176365 7388790.120443),-23.601130212500166,-46.79011692730158
CEU CEI UIRAPURU,"NAZIR MIGUEL, 849",JARDIM PAULO VI,05570-030,,37831926,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (317348.176365 7388790.120443),-23.601130212500166,-46.79011692730158
CEU EMEI UIRAPURU,"NAZIR MIGUEL, 849",JARDIM PAULO VI,05570-030,,37830835,OESTE,65,10,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (317348.176365 7388790.120443),-23.601130212500166,-46.79011692730158
CEU CEI PARAISOPOLIS,"DOUTOR JOSE AUGUSTO DE SOUZA E SILVA, S/N",JARDIM PARQUE MORUMBI,05712-040,,37471971,SUL,83,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (323759.266281 7386464.03958),-23.622843082985852,-46.72758161639081
CEU EMEI PARAISOPOLIS,"DOUTOR JOSE AUGUSTO DE SOUZA E SILVA, S/N",JARDIM PARQUE MORUMBI,05712-040,,37471967,SUL,83,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (323789.554553 7386530.113598),-23.622249831464956,-46.72727699984955
CEU EMEF PARAISOPOLIS,"DOUTOR JOSE AUGUSTO DE SOUZA E SILVA, S/N",JARDIM PARQUE MORUMBI,05712-040,,37471964,SUL,83,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (323789.554553 7386530.113598),-23.622249831464956,-46.72727699984955
CEU EMEF CASA BLANCA,"JOAO DAMASCENO, 85",VILA DAS BELEZAS,05841-160,,55195226,SUL,46,18,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (322083.269765 7383847.296196),-23.64628462735553,-46.74431756255376
CEU EMEI CASA BLANCA,"JOAO DAMASCENO, 85",VILA DAS BELEZAS,05841-160,,55195240,SUL,46,18,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (322083.269765 7383847.296196),-23.64628462735553,-46.74431756255376
CEU CEI CASA BLANCA,"JOAO DAMASCENO, 85",VILA DAS BELEZAS,05841-160,,55195246,SUL,46,18,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (322083.269765 7383847.296196),-23.64628462735553,-46.74431756255376
CEU EMEF HERMES FERREIRA DE SOUZA,"CARLOS LACERDA, 678",PIRAJUSSARA,05789-000,,58434805,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (318383.480223 7384729.378269),-23.637908655483134,-46.78046951954591
CEU EMEI LUIZA HELENA FERREIRA PROFA,"CARLOS LACERDA, 678",PIRAJUSSARA,05789-000,,58434817,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (318383.480223 7384729.378269),-23.637908655483134,-46.78046951954591
CEU CEI CAMPO LIMPO,"CARLOS LACERDA, 678",PIRAJUSSARA,05789-000,,58434831,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (318383.480223 7384729.378269),-23.637908655483134,-46.78046951954591
CEU EMEF FEITICO DA VILA,"FEITICO DA VILA, 399",CHACARA SANTA MARIA,05879-000,,33976601,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (317006.263689 7379361.634641),-23.686214341761122,-46.79462735134804
CEU EMEI FEITICO DA VILA,"FEITICO DA VILA, 399",CHACARA SANTA MARIA,05879-000,,33976634,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (317006.263689 7379361.634641),-23.686214341761122,-46.79462735134804
CEU CEI YOLANDA DE SOUZA SANTALUCIA PROFA,"FEITICO DA VILA, 399",CHACARA SANTA MARIA,05879-000,,33976620,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (317006.263689 7379361.634641),-23.686214341761122,-46.79462735134804
CEU CEI VILA DO SOL,"DOS FUNCIONARIOS PUBLICOS, 369",VILA DO SOL,04962-000,,33979831,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (318446.176787 7373944.667036),-23.735283034320364,-46.78117545597447
CEU EMEI VILA DO SOL,"DOS FUNCIONARIOS PUBLICOS, 369",VILA DO SOL,04962-000,,33979858,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (318446.176787 7373944.667036),-23.735283034320364,-46.78117545597447
CEU EMEF VILA DO SOL,"DOS FUNCIONARIOS PUBLICOS, 369",VILA DO SOL,04962-000,,33979822,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (318446.176787 7373944.667036),-23.735283034320364,-46.78117545597447
CEU CEI CANTOS DO AMANHECER,"CANTOS DO AMANHECER, S/N",JARDIM ELEDY,05856-020,,33979742,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (317862.390125 7383459.240134),-23.649317120927655,-46.785731709496396
CEU EMEI CANTOS DO AMANHECER,"CANTOS DO AMANHECER, S/N",JARDIM ELEDY,05856-020,,33979722,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (317862.390125 7383459.240134),-23.649317120927655,-46.785731709496396
CEU EMEF CANTOS DO AMANHECER,"CANTOS DO AMANHECER, S/N",JARDIM ELEDY,05856-020,,33979747,SUL,17,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (317862.390125 7383459.240134),-23.649317120927655,-46.785731709496396
CEU CEI GUARAPIRANGA,"DA BARONESA, 1120",PARQUE BOLOGNE,04941-175,,33979670,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (319931.053768 7378271.001921),-23.696390662805836,-46.76608695639552
CEU EMEI GUARAPIRANGA,"DA BARONESA, 1120",PARQUE BOLOGNE,04941-175,,33979652,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (319931.053768 7378271.001921),-23.696390662805836,-46.76608695639552
CEU EMEF MARIO FITTIPALDI,"DA BARONESA, 1120",PARQUE BOLOGNE,04941-175,,33979621,SUL,43,18,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (319931.053768 7378271.001921),-23.696390662805836,-46.76608695639552
CEU CEI ELON MACENA,"DANIEL GRAN, S/N",JARDIM MODELO,05867-380,,58749858,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (319340.68517 7380703.491182),-23.67436321815842,-46.77157872915092
CEU EMEI LOREANE LALLO PROFA,"DANIEL GRAN, S/N",JARDIM MODELO,05867-380,,58749851,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (319441.619344 7380717.818822),-23.67424517774677,-46.77058757409391
CEU EMEF JOSE SARAMAGO,"DANIEL GRAN, S/N",JARDIM MODELO,05867-380,,58749862,SUL,19,17,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (319366.890383 7380754.800692),-23.673902916910134,-46.77131560585565
CEU CEMEI FREGUESIA DO O,"JACUTIBA, 167",PARQUE SAO LUIS,02832-240,,,NORTE,29,03,PRIVADA,CEU,SEM REDE,CEMEI,POINT (327026.933076 7401966.966268),-23.483222888689575,-46.69376655704695
CEU EMEI PAZ,"DANIEL CERRI, 1549",JARDIM PARANA,02876-170,,39863419,NORTE,11,03,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (327483.269087 7405867.174815),-23.44805651374802,-46.688851342284124
CEU CEI PAZ,"DANIEL CERRI, 1549",JARDIM PARANA,02876-170,,39863441,NORTE,11,03,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (327483.269087 7405867.174815),-23.44805651374802,-46.688851342284124
CEU EMEF TEOTONIO VILELA SEN,"DANIEL CERRI, 1549",JARDIM PARANA,02876-170,,39863423,NORTE,11,03,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (327483.269087 7405867.174815),-23.44805651374802,-46.688851342284124
CEU CEI JARDIM PAULISTANO,"APARECIDA DO TABOADO, S/N",JARDIM PAULISTANO ZONA NORTE,02814-000,,33975432,NORTE,29,03,PRIVADA,CEU,SEM REDE,CEU CEI,POINT (325164.270044 7404289.308878),-23.462055562262698,-46.711729033786995
CEU EMEI JARDIM PAULISTANO,"APARECIDA DO TABOADO, S/N",JARDIM PAULISTANO ZONA NORTE,02814-000,,33975436,NORTE,29,03,PRIVADA,CEU,SEM REDE,CEU EMEI,POINT (325164.270044 7404289.308878),-23.462055562262698,-46.711729033786995
CEU EMEF JARDIM PAULISTANO,"APARECIDA DO TABOADO, S/N",JARDIM PAULISTANO ZONA NORTE,02814-000,,33975448,NORTE,29,03,PRIVADA,CEU,SEM REDE,CEU EMEF,POINT (325164.270044 7404289.308878),-23.462055562262698,-46.711729033786995
