name,name2,station,lat,lon,line,neigh
Aacd-Servidor,Aacd Servidor,Aacd-Servidor,-23.5978246,-46.652374,['Lilas'],"['Moema', 'Hospital-Sao-Paulo']"
Adolfo-Pinheiro,Adolfo Pinheiro,Adolfo-Pinheiro,-23.6500726,-46.7042057,['Lilas'],"['Largo-Treze', 'Alto-Da-Boa-Vista']"
Alto-Da-Boa-Vista,Alto Da Boa Vista,Alto-Da-Boa-Vista,-23.6416251,-46.6994344,['Lilas'],"['Adolfo-Pinheiro', 'Borba-Gato']"
Alto-Do-Ipiranga,Alto Do Ipiranga,Alto-Do-Ipiranga,-23.6022366,-46.6124857,['Verde'],"['Santos-Imigrantes', 'Sacoma']"
Ana-Rosa,Ana Rosa,Ana-Rosa,-23.5818713,-46.6381039,"['Azul', 'Verde']","['Paraiso', 'Vila-Mariana', 'Paraiso', 'Chacara-Klabin']"
Anhangabau,Anhangabau,Anhangabau,-23.5478254,-46.63918,['Vermelha'],"['Se', 'Republica']"
Armenia,Armenia,Armenia,-23.5254103,-46.629258965,['Azul'],"['Portuguesa-Tiete', 'Tiradentes']"
Artur-Alvim,Artur Alvim,Artur-Alvim,-23.5402438,-46.4847063,['Vermelha'],"['Corinthians-Itaquera', 'Patriarca-Vila-Re']"
Belem,Belem,Belem,-23.5428718,-46.589615,['Vermelha'],"['Tatuape', 'Bresser-Mooca']"
Borba-Gato,Borba Gato,Borba-Gato,-23.6334661,-46.6928675,['Lilas'],"['Alto-Da-Boa-Vista', 'Brooklin']"
Bras,Bras,Bras,-23.5453263,-46.6164435,['Vermelha'],"['Bresser-Mooca', 'Pedro-Ii']"
Bresser-Mooca,Bresser Mooca,Bresser-Mooca,-23.5463606,-46.6071519,['Vermelha'],"['Belem', 'Bras']"
Brigadeiro,Brigadeiro,Brigadeiro,-23.5677281,-46.6489369,['Verde'],"['Trianon-Masp', 'Paraiso']"
Brooklin,Brooklin,Brooklin,-23.6268017,-46.6881279,['Lilas'],"['Borba-Gato', 'Eucaliptos']"
